Index,,ISO3 Alpha-code,Subregion,Region,Continent,"More developed regions
901","Less developed regions
902","Least developed countries
941","Less developed regions, excluding least developed countries
934","Less developed regions, excluding China
948","Land-Locked Developing Countries (LLDC)
1636","Small Island Developing States (SIDS)
1637","High-income Countries
1503","Middle-income Countries
1517","Upper-middle-income Countries
1502","Lower-middle-income Countries
1501","Low-income Countries
1500","No income group available
1518",Max(HIV) for males,Max(HIV) for females,Max(HIV) for both sexes,Year for max(HIV) for both sexes,Estimates of mortality age pattern,Projection of life expectancy at birth
27,Burundi,BDI,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,3.48,4.45,3.96,1997,,Yes
28,Comoros,COM,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,1637,,,,,1500,,0.07,0.04,0.05,2003,,
29,Djibouti,DJI,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,1517,,1501,,,2.43,3.20,2.81,2002,,Yes
30,Eritrea,ERI,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,1.07,2.23,1.66,1998,,Yes
31,Ethiopia,ETH,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,2.61,4.68,3.65,1997,,Yes
32,Kenya,KEN,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,7.94,12.37,10.19,1997,Yes,Yes
33,Madagascar,MDG,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,0.36,0.16,0.26,2017,,
34,Malawi,MWI,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,12.32,17.39,14.90,1998,Yes,Yes
35,Mauritius,MUS,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,1637,,1517,1502,,,,1.99,0.93,1.46,2008,,Yes
36,Mayotte,MYT,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,,,,,1518,,,,,,
37,Mozambique,MOZ,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,10.76,15.76,13.35,2010,Yes,Yes
38,Réunion,REU,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,,,,,1518,,,,,,
39,Rwanda,RWA,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,5.00,6.86,5.95,1995,Yes,Yes
40,Seychelles,SYC,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,1637,1503,,,,,,,,,,,
41,Somalia,SOM,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,0.41,0.37,0.39,2002,,
42,South Sudan,SSD,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,2.45,3.45,2.95,2006,,Yes
43,Uganda,UGA,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,9.24,12.11,10.69,1990,Yes,Yes
44,United Republic of Tanzania,TZA,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,7.25,9.70,8.43,1997,Yes,Yes
45,Zambia,ZMB,Eastern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,1517,,1501,,,12.88,19.00,15.93,1998,Yes,Yes
46,Zimbabwe,ZWE,Eastern Africa,Sub-Saharan Africa,Africa,,902,,934,948,1636,,,,,,1500,,23.90,30.64,27.28,1997,Yes,Yes
47,Middle Africa,   ,,,,,,,,,,,,,,,,,,,,,,
48,Angola,AGO,Middle Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,1517,,1501,,,1.25,2.58,1.92,2016,,Yes
49,Cameroon,CMR,Middle Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,3.74,6.44,5.08,2004,Yes,Yes
50,Central African Republic,CAF,Middle Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,8.75,10.98,9.87,1998,Yes,Yes
51,Chad,TCD,Middle Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,1.79,2.57,2.18,2000,,Yes
52,Congo,COG,Middle Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,3.61,6.14,4.85,1996,Yes,Yes
53,Democratic Republic of the Congo,COD,Middle Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,1.40,3.02,2.16,1998,,Yes
54,Equatorial Guinea,GNQ,Middle Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,1502,,,,5.49,8.06,6.52,2017,Yes,Yes
55,Gabon,GAB,Middle Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,1502,,,,2.32,6.43,4.26,2016,Yes,Yes
56,Sao Tome and Principe,STP,Middle Africa,Sub-Saharan Africa,Africa,,902,941,,948,,1637,,1517,,1501,,,,,,,,
57,Southern Africa,   ,,,,,,,,,,,,,,,,,,,,,,
58,Botswana,BWA,Southern Africa,Sub-Saharan Africa,Africa,,902,,934,948,1636,,,1517,1502,,,,22.84,31.13,26.95,2000,Yes,Yes
59,Eswatini,SWZ,Southern Africa,Sub-Saharan Africa,Africa,,902,,934,948,1636,,,1517,,1501,,,21.97,35.90,28.43,2014,Yes,Yes
60,Lesotho,LSO,Southern Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,1517,,1501,,,18.81,29.13,23.91,2016,Yes,Yes
61,Namibia,NAM,Southern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,1502,,,,12.21,16.93,14.63,2002,Yes,Yes
62,South Africa,ZAF,Southern Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,1502,,,,14.20,23.67,18.85,2016,Yes,Yes
63,Western Africa,   ,,,,,,,,,,,,,,,,,,,,,,
64,Benin,BEN,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,1.25,1.62,1.42,2001,,Yes
65,Burkina Faso,BFA,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,4.27,3.49,3.81,1993,,Yes
66,Cabo Verde,CPV,Western Africa,Sub-Saharan Africa,Africa,,902,,934,948,,1637,,1517,,1501,,,0.77,1.04,0.91,2001,,Yes
67,Côte d'Ivoire,CIV,Western Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,6.78,9.99,8.33,1997,Yes,Yes
68,Gambia,GMB,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,2.03,2.38,2.21,2007,,Yes
69,Ghana,GHA,Western Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,2.29,3.09,2.64,2001,,Yes
70,Guinea,GIN,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,1.41,2.16,1.78,2000,,Yes
71,Guinea-Bissau,GNB,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,1637,,,,,1500,,3.39,4.69,4.06,2008,Yes,Yes
72,Liberia,LBR,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,4.46,6.17,5.30,1994,Yes,Yes
73,Mali,MLI,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,1.27,1.85,1.56,1999,,Yes
74,Mauritania,MRT,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,1517,,1501,,,1.25,0.53,0.90,2003,,Yes
75,Niger,NER,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,1636,,,,,,1500,,0.82,0.59,0.70,2001,,
76,Nigeria,NGA,Western Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,1517,,1501,,,3.74,3.66,3.69,2002,,Yes
77,Saint Helena,SHN,Western Africa,Sub-Saharan Africa,Africa,,902,,934,948,,,,,,,,1518,,,,,,
78,Senegal,SEN,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,0.55,0.94,0.75,2004,,
79,Sierra Leone,SLE,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,1.46,1.81,1.64,2008,,Yes
80,Togo,TGO,Western Africa,Sub-Saharan Africa,Africa,,902,941,,948,,,,,,,1500,,2.95,4.30,3.65,2003,,Yes
81,NORTHERN AFRICA AND WESTERN ASIA,,,,,,,,,,,,,,,,,,,,,,,
82,Northern Africa,   ,,,,,,,,,,,,,,,,,,,,,,
83,Algeria,DZA,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,1517,1502,,,,0.06,0.05,0.05,2017,,
84,Egypt,EGY,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,1517,,1501,,,0.04,0.02,0.03,2017,,
85,Libya,LBY,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,1517,1502,,,,,,,,,
86,Morocco,MAR,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,1517,,1501,,,0.11,0.07,0.09,2017,,
87,Sudan,SDN,Northern Africa,Northern Africa and Western Asia,Africa,,902,941,,948,,,,1517,,1501,,,0.24,0.21,0.23,2017,,
88,Tunisia,TUN,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,1517,,1501,,,0.06,0.03,0.04,2017,,
89,Western Sahara,ESH,Northern Africa,Northern Africa and Western Asia,Africa,,902,,934,948,,,,,,,,1518,,,,,,
90,Western Asia,   ,,,,,,,,,,,,,,,,,,,,,,
91,Armenia,ARM,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,0.28,0.12,0.19,2008,,
92,Azerbaijan,AZE,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,0.15,0.08,0.12,2017,,
93,Bahrain,BHR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,1637,1503,,,,,,0.08,0.06,0.07,2017,,
94,Cyprus,CYP,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,0.17,0.05,0.11,2017,,
95,Georgia,GEO,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.68,0.17,0.43,2017,,
96,Iraq,IRQ,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,,,,,,
97,Israel,ISR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
98,Jordan,JOR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,,,,,,
99,Kuwait,KWT,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,0.09,0.04,0.06,2017,,
100,Lebanon,LBN,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.08,0.02,0.05,2017,,
101,Oman,OMN,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
102,Qatar,QAT,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,0.17,0.08,0.12,2017,,
103,Saudi Arabia,SAU,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
104,State of Palestine,PSE,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,,1501,,,,,,,,
105,Syrian Arab Republic,SYR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,,,,1500,,,,,,,
106,Turkey,TUR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,,,,,,
107,United Arab Emirates,ARE,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
108,Yemen,YEM,Western Asia,Northern Africa and Western Asia,Asia,,902,941,,948,,,,,,,1500,,,,,,,
109,CENTRAL AND SOUTHERN ASIA,,,,,,,,,,,,,,,,,,,,,,,
110,Central Asia,   ,,,,,,,,,,,,,,,,,,,,,,
111,Kazakhstan,KAZ,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,0.31,0.14,0.23,2017,,
112,Kyrgyzstan,KGZ,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.26,0.14,0.20,2017,,
113,Tajikistan,TJK,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,,,,1500,,0.37,0.14,0.26,2017,,
114,Turkmenistan,TKM,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,,,,,,
115,Uzbekistan,UZB,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.34,0.18,0.26,2017,,
116,Southern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
117,Afghanistan,AFG,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,,,,1500,,,,,,,
118,Bangladesh,BGD,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,,,,1517,,1501,,,0.02,0.01,0.01,2017,,
119,Bhutan,BTN,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,1517,,1501,,,,,,,,
120,India,IND,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.59,0.39,0.50,1999,,
121,Iran (Islamic Republic of),IRN,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.16,0.06,0.11,2016,,
122,Maldives,MDV,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,1637,,1517,1502,,,,,,,,,
123,Nepal,NPL,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,,,,1500,,0.33,0.15,0.24,2005,,
124,Pakistan,PAK,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.17,0.08,0.13,2017,,
125,Sri Lanka,LKA,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.05,0.02,0.04,2007,,
126,EASTERN AND SOUTH-EASTERN ASIA,,,,,,,,,,,,,,,,,,,,,,,
127,Eastern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
128,China,CHN,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,,1517,1502,,,,0.12,0.06,0.04,2007.00,,
129,"China, Hong Kong SAR",HKG,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
130,"China, Macao SAR",MAC,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
131,"China, Taiwan Province of China",TWN,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
132,Dem. People's Republic of Korea,PRK,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,,,,1500,,,,,,,
133,Japan,JPN,Eastern Asia,Eastern and South-Eastern Asia,Asia,901,,,,,,,1503,,,,,,0.07,0.01,0.04,2017,,
134,Mongolia,MNG,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.05,0.02,0.03,2012,,
135,Republic of Korea,KOR,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
136,South-Eastern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
137,Brunei Darussalam,BRN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
138,Cambodia,KHM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,,,1517,,1501,,,2.36,1.25,1.73,1998,,Yes
139,Indonesia,IDN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.54,0.31,0.42,2017,,
140,Lao People's Democratic Republic,LAO,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,1636,,,1517,,1501,,,0.33,0.26,0.30,2012,,
141,Malaysia,MYS,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.84,0.17,0.50,2001,,
142,Myanmar,MMR,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,,,1517,,1501,,,1.12,0.53,0.77,2007,,Yes
143,Philippines,PHL,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.22,0.02,0.12,2017,,
144,Singapore,SGP,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,1637,1503,,,,,,0.44,0.05,0.25,2017,,
145,Thailand,THA,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,1502,,,,3.03,1.26,2.00,1997,,Yes
146,Timor-Leste,TLS,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,1637,,1517,,1501,,,,,,,,
147,Viet Nam,VNM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.53,0.25,0.37,2010,,
148,LATIN AMERICA AND THE CARIBBEAN,   ,,,,,,,,,,,,,,,,,,,,,,
149,Caribbean,   ,,,,,,,,,,,,,,,,,,,,,,
150,Anguilla,AIA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
151,Antigua and Barbuda,ATG,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
152,Aruba,ABW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
153,Bahamas,BHS,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,3.57,2.45,2.92,1998,,Yes
154,Barbados,BRB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,2.17,1.06,1.61,2017,,Yes
