Reference,Article type,Years of data collection,Coordinates,Surrounding landscape,Forest type,Focal taxa,Pathways,
"Bollinger, E.K., and E.T. Linder. 1994. Reproductive success of Neotropical migrants in a fragmented Illinois forest. The Wilson Bulletin, 106: 46-54.",article,1991-1992,"39, -88",agriculture,,"GCFL, ACFL, REVI, WOTH, OVEN, WEWA, LOWA, KEWA, SCTA",patch size > reproductive success > age structure,
"Friesen, L.E., P.F. Eagles, and R.J. MacKay. 1995. Effects of residential development on forest-dwelling Neotropical migrant songbirds. Conservation Biology, 9: 1408-1414.",article,1992-1994,"43, -80",residential,maple beech birch,community,patch size + housing development > bird abundance,
"Williams Jr, G.E. 2002. Relations of nesting behavior, nest predators, and nesting success of Wood Thrushes (Hylocichla mustelina) to habitat characteristics at multiple scales. West Virginia University.",thesis,1998-2000,"38, -79*",regenerating forest,maple beech birch,WOTH,patch size > nest provisionining > nest attendance > nest predation,
"MacDonald-Beyers, K. 2008. Habitat interactions structuring songbird communities across forest-urban edges. Rutgers University.",thesis,2002-2004,"40, -74*",urban,hardwood wetland,community,patch size + matrix type > bird species richness + bird abundance,
"Beyeler, S.C. 2009. Factors affecting songbird richness, abundance, and nest survival in riparian forests in a Midwestern agricultural landscape. University of Illinois Urbana-Champaign.",thesis,2003-2005,"38, -89*",agriculture,,"YBCU, ACFL, WOTH, AMRO, GRCA, BRTH, EATO, OVEN, LOWA, PROW, KEWA, NOCA, INBU",forest width > bird abundance; distance to edge + forest width > nest success; predation + weather + parasitism > nest failure; invasive plant nest substrates > nest concealment > nest success,
"Newell, F.L., and M.S. Kostalos. 2007. Wood thrush nests in dense understory may be vulnerable to predators. The Wilson Journal of Ornithology, 119: 693-702.",article,2003-2004,"40, -79*","roads, houses, grassy recreational areas, fields",maple beech birch,WOTH,distance to edge + nest placement + understory vegetation density + canopy cover + nest concealment > nest success,
"Jack, J., T. Rytwinski, L. Fahrig, and C.M. Francis. 2015. Influence of traffic mortality on forest bird abundance. Biodiversity and Conservation, 24: 1507-1529.",article,2012,"44, -77*",roads; agriculture,mixed,community,distance to edge > bird abundance; matrix + forest dissection > bird abundance; distance to edge > traffic noise > bird abundance; forest dissection > traffic noise + canopy cover + ground voer + shrub density,
"Schieck, J., and K.A. Hobson. 2000. Bird communities associated with live residual tree patches within cut blocks and burned habitat in mixedwood boreal forests. Canadian Journal of Forest Research, 30: 1281-1295.",article,1997-1998,"55, -114*","logging, regenerating forest, bogs",white/red/jack pine,community,patch size + time since disturbance > bird community,
"Monkkonen, M., P. Helle, B.J. Niemi, and K. Montgomery. 1997. Heterospecific attraction affects community structure and migrant abundances in northern breeding bird communities. Canadian Journal of Zoology, 75: 2077-2083.",article,1993-1994,"47, -92",reservoir,aspen birch,"NOFL, LEFL, REVI, VEER, AMRO, SOSP, OVEN, BAWW, AMRE, MAWA, YEWA, CSWA, YRWA",island size > bird abundance; bird density > heterospecific attraction > settlement > migrant density,
"Bayne, E.M., and K.A. Hobson. 2002. Apparent survival of male Ovenbirds in fragmented and forested boreal landscapes. Ecology, 83: 1307-1316.",article,1996-1999,"53, -106","agriculture, forestry",,OVEN,fragmentation > reproductive success > dispersal > apparent survival > male age,
"Wilson, G.R., M.C. Brittingham, and L.J. Goodrich. 1998. How well do artificial nests estimate success of real nests? The Condor, 100: 357-364.",article,1993-1994,"40, -75*",agriculture,oak hickory,WOTH,patch size > nest predation + brood parasitism > nest success,
"Collier, B.A., J.E. Groce, M.L. Morrison, J.C. Newnam, A.J. Campomizzi, S.L. Farrell, H.A. Mathewson, R.T. Snelgrove, R.J. Carroll, and R.N. Wilkins. 2012. Predicting patch occupancy in fragmented landscapes at the rangewide scale for an endangered species: an example of an American warbler. Diversity and Distributions, 18: 158-167.",article,2009,"31, -98*",,oak-juniper,GCWA,patch size > occupancy;,
"Feldman, R.E., and P.G. Krannitz. 2005. Does habitat matter in an urbanized landscape? The birds of the Garry oak (Quercus garryana) ecosystem of southeastern Vancouver Island. Bird Conservation Implementation and Integration in the Americas: Proceedings of the Third International Partners in Flight Conference, March 20-24, 2002, Asilomar, California, 1: 332.",USDA Forest Service General Technical Report,2000,"48, -123*",residential,douglas fir,community,patch size + urbanization > bird abundance,
"Sisk, T.D., N.M. Haddad, and P.R. Ehrlich. 1997. Bird assemblages in patchy woodlands: modeling the effects of edge and matrix habitats. Ecological Applications, 7: 1170-1180.",article,1991,"37, -122*","grassland, chaparral",western oak,community,distance to edge + matrix type > bird abundane,
"Manolis, J.C., D.E. Andersen, and F.J. Cuthbert. 2000. Patterns in clearcut edge and fragmentation effect studies in northern hardwood-conifer landscapes: retrospective power analysis and Minnesota results. Wildlife Society Bulletin, 28: 1088-1101.",article,1992-1994,"47, -94*",clearcut,mixed,community,distance to edge > canopy cover + ground cover + leaf litter depth + nest concealment > nest success,
"Golet, F.C., Y. Wang, J.S. Merrow, and W.R. DeRagon. 2001. Relationship between habitat and landscape features and the avian community of red maple swamps in southern Rhode Island. Wilson Journal of Ornithology, 113: 217-227.",article,1988-1989,"41, -71",roads,maple beech birch,community,patch size > canopy cover + snag density + shrub density + sapling cover + peat depth > bird species richness,
"Evans, M.L., B.E. Woolfenden, L. Friesen, and B.J. Stutchbury. 2009. Variation in the extra-pair mating systems of Acadian Flycatchers and Wood Thrushes in forest fragments in southern Ontario. Journal of Field Ornithology, 80: 146-153.",article,2002-2003,"43, -80",,,"ACFL, WOTH",patch size > extra pair copulation; mate guarding > extra pair copulation; off-territory forays > extra pair copulation; patch size > singing males > territory density + pairing status; pairing status > nest success; patch size > bird density; ,
"Doherty, P.F. 2000. The effects of forest fragmentation on the species diversity, distribution, and demography of permanent-resident temperate-zone woodland birds. The Ohio State University.",thesis,1998-1999,"40, -82*",row-crop agriculture,oak hickory,CACH,distance to edge > nest placement + nest success; distance to edge > heterospecific interference competition + nest destruction by heterospecifics;,
"Cooper, T.R. 2005. Grassland and woodland bird occurrence and habitat selection in the prairie-forest transition zone of Minnesota. South Dakota State University.",thesis,2003-2004,"44, -93*","prairie, agriculture, development",maple beech birch,"YBCU, LEFL, YTVI, REVI, WBNU, BGGN, VEER, WOTH, OVEN, BAWW, KEWA, AMRE, SCTA",patch size + herbaceous cover + canopy cover + litter depth + herb height + tree layers + land use > bird abundance,
"Hawrot, R.Y., and G.J. Niemi. 1996. Effects of edge type and patch shape on avian communities in a mixed conifer-hardwood forest. The Auk, 113: 586-598.",article,1985-1992,"45, -91","alder, grassland, other forest types",mixed,"REVI, BCCH, RBNU, HETH, AMRO, WTSP, OVEN, COYE, CSWA",patch size + edge abruptness + edge length > bird abundance,
"Rodewald, A.D. 2012. Evaluating factors that influence avian community response to urbanization. In Urban Bird Ecology and Conservation, 71-92. University of California Press.",book chapter,2001-2004,"39, -83*","agricultural, urban",elm/ash/cottonwood,"ACFL, NOCA",matrix type > vegetation structure; urbanization > heat island > microclimate > population density; urbanization > bird feeders > bird abundance; urbanization > predator abundance + brood parasitism > nest success; urbanization > bird species richness > heterospecific attraction > bird abundance; forest width > bird abundance,
"Donovan, T.M. 1994. The demography of Neotropical migrant birds in habitat sources and sinks. University of Missouri Columbia.",thesis,1991-1993,"39, -91*","pasture, row-crops",oak hickory,"REVI, WOTH, OVEN",patch size > nest predation + brood parasitism > number of fledglings; patch size > immigration + reproductive success > population density; patch size > bird density > brood parasite abundance + brood parasite nestling survival > brood parasitism; patch size > recruitment > bird density; patch size > age structure + sex ratio; patch size > site fidelity; patch size > reproductive succcess > bird abundance,
"Flaspohler, D.J., S.A. Temple, and R.N. Rosenfield. 2001. Species-specific edge effects on nest success and breeding bird density in a forested landscape. Ecological Applications, 11: 32-46.",article,1995-1997,"46, -90*",clearcut,mixed,"LEFL, REVI, BTGN, HETH, AMRO, OVEN, SCTA, RBGR",distance to edge > number of fledglings > nest success; distance to edge > nest predation + abandonment > nest success,
"Keller, G.S., and R.H. Yahner. 2007. Seasonal forest-patch use by birds in fragmented landscapes of south-central Pennsylvania. Wilson Journal of Ornithology, 119: 410-418.",article,1994-1996,"40, -78*","crops, pasture",oak hickory,community,patch size > bird occurrence,
"Shirley, S.M. 2006. Movement of forest birds across river and clearcut edges of varying riparian buffer strip widths. Forest Ecology and Management, 223: 190-199.",article,1998,"49, -125*","clearcut, river",hemlock sitka-spruce,"SWTH, AMRO",forest width > movement; forest width > habitat quality > movement; ,
"Guth, R.W. 1976. Illinois farmsteads: islands for birds? Transactions of the Illinois State Academy of Science, 69: 100-107.",local journal,1975,"40, -89*",agriculture,mixed,community,patch size > bird species richness,
"Sesnie, S.E., J.M. Mueller, S.E. Lehnen, S.M. Rowin, J.L. Reidy, and F.R. Thompson III. 2016. Airborne laser altimetry and multispectral imagery for modeling Golden-cheked Warbler (Setophaga chrysoparia) density. Ecosphere, 7: e01220.",article,2012,"30, -98*","grasslands, shrublands",oak-juniper,GCWA,distance to edge > population density; distance to edge > territory density; distance to edge > number of fledglings,
"Roth, R.R., and H.J. Weinberg. 1993. Consequences for Neotropical migrants breeding in small forest fragments: a test case with Wood Thrush. Bulletin of the Ecological Society of America, 74: 418.",conference abstract,1991-1992,"39, -75*",,,WOTH,patch size > nest predation + number of fledgings + brood parasitism > nest success; patch size > site fidelity,
"Smith, S.B. 2008. The reproductive and conservation biology of the Spotted Towhee in urban forest fragments. Portland State University.",thesis,2004-2006,"45, -122*",urban,douglas fir,SPTO,patch size + distance to edge > reproductive success; clutch size + number of fledglings + nestling condition > reproductive success; nest predation > number of fledglings; food abundance > clutch size + nestling condition; food abundance + distance to edge > extra pair copulation,
"Freemark, K.E., and H.G. Merriam. 1986. Importance of area and habitat heterogeneity to bird assemblages in temperate forest fragments. Biological Conservation, 36: 115-141.",article,1980-1981,"45, -76","cultivated fields, pastures, roads",temperate,community,patch size > forest structure + plant community > bird community; patch size > habitat heterogeneity > bird community,
"Wander, S.A. 1985. Comparative breeding biology of the ovenbird in large vs. fragmented forests: implications for the conservation of Neotropical migrant birds. Rutgers University.",thesis,1981-1984,"40, -74*",urban,maple beech birch,OVEN,patch size > heterospecific density; patch size > arrival date; patch size > territory density > pairing success > breeding density; patch size > nest predation + brood parasitism > reproductive success; patch size > resource availability + habitat heterogeneity; patch size > gap-crossing > settlement; patch size > edge avoidance; patch size > nest vulnerability + nest predator abundance; patch size > brood parasite abundance > brood parasitism; ,
"Van Horn, M.A., R.M. Gentry, and J. Faaborg. 1995. Patterns of ovenbird (Seiurus aurocapillus) pairing success in Missouri forest tracts. The Auk, 112: 98-106.",article,1988-1989,"39, -92*",agriculture,oak hickory,OVEN,patch size + distance to edge > territory density > pairing success > singing rate; patch size > basal area + canopy height + litter depth + canopy closure + ground cover + shrub density + shrub height > vegetation structure > pairing success,
"Rowse, L.M., A.D. Rodewald, and S.M.P. Sullivan. 2014. Pathways and consequences of contaminant flux to Acadian flycatchers (Empidonax virescens) in urbanizing landscapes of Ohio, USA. Science of the Total Environment, 485: 461-467.",thesis,2011-2012,"39, -83*",urban,elm/ash/cottonwood,ACFL,distance to edge > aquatic invertebrates > bioavailability of metals > contaminant load; urbanization > atmospheric deposition > bioavailability of metals; contaminant load > immune function + behavior > body condition; contaminant load > egg size > hatching success + embryo deformities > fledging success > reproductive success; urbanization + watershed flow > water and sediment hg > insect contaminant load > contaminant load,
"Bayne, E.M., and K.A. Hobson. 2001. Effects of habitat fragmentation on pairing success of ovenbirds: importance of male age and floater behavior. The Auk, 118: 380-388.",article,1996-1998,"53, -105","agriculture, forestry",,OVEN,patch size > habitat selection + mate selection > pairing success; age + body condition > mate selection; patch size > floater males,
"Benson, T.J., N.M. Anich, J.D. Brown, and J.C. Bednarz. 2010. Habitat and landscape effects on brood parasitism, nest survival, and fledgling production in Swainson’s Warblers. Journal of Wildlife Management, 74: 81-93.",article,2004-2007,"34, -91*","agriculture, primary and secondary roads, streams",,SWWA,distance to edge > brood parasitism + nest predation > nest survival +  number of fledglings; nest concealment + vegetation cover + canopy cover + brood parasitism > nest survival + fledgling production,
"Shirley, S. 2004. The influence of habitat diversity and structure on bird use of riparian buffer strips in coastal forests of British Columbia, Canada. Canadian Journal of Forest Research, 34: 1499-1510.",article,1997,"49, -125*","clearcut, river",hemlock sitka-spruce,"PSFL, WAVI, CBCH, WIWR, GCKI, SWTH, AMRO, VATH",forest width > microclimate + light regimes; forest width > vegetation structure > bird species richness + bird abundance; distance to edge > deciduous trees + shrub density > insect abundance > bird abundance; distance to edge > vegetation diversity,
"Aquilani, S.M., and J.S. Brewer. 2004. Area and edge effects on forest songbirds in a non-agricultural upland landscape in northern Mississippi, USA. Natural Areas Journal, 24: 326-335.",article,1999-2000,"34, -89*",clearcut; hiking trails; forest service roads,,WOTH,patch area > avian community composition + bird abundance; patch area > nest success; distance to edge > nest success;,
"Rodewald, A.D. 2002. Nest predation in forested regions: landscape and edge effects. Journal of Wildlife Management, 66: 634-640.",article,1998-1999,"40, -78*","agriculture, silviculture",oak hickory,"REVI, WOTH, OVEN, SCTA",distance to edge > nest predation > nest success,
"Rush, S. 2004. The effects of forest fragmentation on post-fledging survival and dispersal of a forest songbird (Wilsonia citrina). York University.",thesis,2002-2003,"41, -79","agricultural, residential, rural, urban",hardwood,HOWA,patch size > parental feeding > post-fledging survival; patch size > post-fledging dispersal; brood size > parental feeding,
"Blake, J.G. 1986. Species-area relationship of migrants in isolated woodlots in east-central Illinois. The Wilson Bulletin, 98: 291-296.",article,1979-1981,"40, -87*",agriculture,temperate,community,patch size > bird species richness,
"Butler, L.K., L. Ries, I.A. Bisson, T.J. Hayden, M.M. Wikelski, and L.M. Romero. 2013. Opposite but analogous effects of road density on songbirds with contrasting habitat preferences. Animal Conservation, 16: 77-85.",article,2008,"31, -97",roads,oak-juniper,"WEVI, GCWA",road density > corticosterone + body mass + fat stores + body condition; road density > age structure + occupancy; road density > nest predation > territory placement; distance to edge > age structure + body condition + stress levels,
"Friesen, L.E., V.E. Wyatt, and M.D. Cadman. 1999. Pairing success of Wood Thrushes in a fragmented agricultural landscape. The Wilson Bulletin, 111: 279-281.",article,1996-1998,"43, -80*",farmland,maple beech birch,WOTH,patch size > nest density; patch size > singing males + territory density; patch size > pairing success,
"Richmond, S., E. Nol, and D. Burke. 2011. Avian nest success, mammalian nest predator abundance, and invertebrate prey availability in a fragmented landscape. Canadian Journal of Zoology, 89: 517-528.",article,2005,"44, -78",agriculture; housing developments,,WOTH,patch area > mammalian predator abundance + invertebrate prey availability + nest placement > nest success,
"Blake, J.G., and J.R. Karr. 1987. Breeding birds of isolated woodlots: Area and habitat relationships. Ecology, 68: 1724-1734.",article,1979-1981,"39, -88*",agriculture,,community,patch size > bird diversity,
"Cox, W.A. 2011. Cause specific mortality and anti-predator behavior in Midwestern songbirds. University of Missouri Columbia.",thesis,2006-2010,"39, -91",,oak hickory,"ACFL, INBU",nest predation > nest success; raptors + avian predators + snakes > nest predation; distance to edge + stem density > nest predation + brood parasitism; nest visitation > nest predation; ,
"Dunford, W. 2001. Effects of agricultural and urban land uses on birds breeding in forest fragments near Ottawa, Ontario. Carleton University.",thesis,2000,"41, -79","agriculture, urban",maple beech birch,"WOTH, AMRO, OVEN",patch size + matrix > bird species richness + reproductive success; patch size > pairing success; ,
"Cox, J. 1988. The influence of forest size on transient and resident bird species occupying maritime hammocks of northeastern Florida. Florida Field Naturalist, 16: 25-34.",article,1987,"30, -81*",urban development,hammock,community,patch size > bird species richness,
"Hoover, J.P., T.H. Tear, and M.E. Baltz. 2006. Edge effects reduce the nesting success of Acadian Flycatchers in a moderately fragmented forest. Journal of Field Ornithology, 77: 425-436.",article,1999-2001,"37, -89",row crop agriculture,oak hickory,ACFL,distance to edge > nest predation + brood parasitism; ,
"Villard, M. 1993. Spatio-temporal dynamics of forest bird patch populations in agricultural landscapes. Carleton University.",thesis,1988-1990,"45, -75*","agriculture, urbanization",maple beech birch,"WOTH, OVEN, BAWW, SCTA",patch size > extinction + resettlement > bird abundance; patch size > occupancy; ,
"Boardman, L.A., and R.H. Yahner. 1999. Wildlife communities associated with even-aged reproduction stands in two state forests of Pennsylvania. Northern Journal of Applied Forestry, 16: 89-95.",article,1995,"40, -77*",,temperate,community,patch size > ground cover + leaf litter + canopy cover; patch size > small mammal abundance + bird abundance,
"Dettmers, R. 1994. Forest fragmentation and nesting productivity in Ohio. North American Bird Bander, 3: 117-118.",organizational newsletter,1992-1993,"39, -82*","agriculture, clearcut, gas, oil, and well pads, roads",oak hickory,"ACFL, WOTH",distance to edge > brood parasitism > nest success,
"Gutzwiller, K.J., and S.H. Anderson. 1987. Short-term dynamics of cavity-nesting bird communities in disjunct floodplain habitats. The Condor, 89: 710-720.",article,1993-1994,"42, -104*",rangeland and agriculture,elm/ash/cottonwood,"TRES, BCCH, HOWR, EUST, COGR",patch size > immigration + extinction; patch size > bird species richness,
"Chapa-Vargas, L., and S.K. Robinson. 2013. Large forests enhance songbird nesting success in agricultural-dominated landscapes of the Midwestern US. Ecography, 36: 383-392.",article,1997-1999,"38, -89*",agriculture,floodplain,"ACFL, PROW, NOCA, INBU",distance to edge > nest density + brood parasitism + nest predation; nest predation > nest success,
"Friesen, L.E. 1997. Forest birds in fragmented landscapes: the pressures from without. University of Waterloo.",thesis,1994-1996,"40, -77*",agriculture,oak hickory,community,patch size > bird abundance,
"Johns, B.W. 1993. The influence of grove size on bird species richness in aspen parklands. The Wilson Bulletin, 105: 256-264.",article,1984-1986,"52, 106",grassland and cultivated fields,aspen birch,community,patch size > bird abundance + bird species richness,
"Duguay, J.P., P.B. Wood, and J.V. Nichols. 2001. Songbird abundance and avian nest survival rates in forests fragmented by different silvicultural treatments. Conservation Biology, 15: 1405-1415.",article,1993-1996,"38, -79*",clearcutting,maple beech birch,"ACFL, REVI, VEER, WOTH, RBGR",distance to edge > daily nest survival + brood parasitism;,
